id;type;score;bedrooms;type_bedroom;beds;type_bed;baths;type_bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
7,92E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;99018982;Juan Y Bea;Latina;Puerta del Angel;4.041.412.037;-3.724.442.613;Entire home/apt;168;1;2;8/19/2023;0.24;56;341;2;
7,88E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;105344430;Jorge;ChamberÃ­;Vallehermoso;404.411.825;-37.132.248;Entire home/apt;58;15;0;;;24;262;0;
7,99E+22;Rental unit in Madrid ;;1;studio;1;bed;1.5;bath;465040981;Sibela;Villaverde;Los Rosales;4.034.978.973;-3.685.511.803;Entire home/apt;56;1;1;7/09/2023;0.19;11;17;1;
8,12E+22;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;429256005;Cris;Centro;Embajadores;404.123.013;-3.705.883.122;Private room;58;15;2;6/07/2023;0.25;1;358;2;
8,20E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;174061174;Francisco;Centro;Cortes;4.041.344.882;-3.700.442.684;Entire home/apt;113;1;0;;;2;0;0;
8,21E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Universidad;4.042.476.743;-3.707.084.234;Entire home/apt;56;30;0;;;148;318;0;
8,37E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;397053855;Sharing;Centro;Embajadores;4.040.902.991;-3.708.353.322;Entire home/apt;95;1;2;4/24/2023;0.25;38;293;2;
8,48E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;505640498;JosÃ© Luis;Carabanchel;OpaÃ±el;403.903;-372.295;Entire home/apt;60;1;1;9/10/2023;0.31;3;0;1;
8,53E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;434208714;Blueground;ChamartÃ­n;HispanoamÃ©rica;404.565.594;-36.801.386;Entire home/apt;88;30;0;;;166;358;0;
8,53E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;434208714;Blueground;ChamartÃ­n;HispanoamÃ©rica;404.565.594;-36.801.386;Entire home/apt;86;30;2;11/06/2023;0.36;166;365;2;
8,53E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;232520062;Alexander;Centro;Universidad;40.428.659;-37.093.547;Entire home/apt;75;60;2;9/01/2023;0.42;34;363;2;
8,58E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;461404851;Mauricio;TetuÃ¡n;Berruguete;404.612.683;-37.027.802;Entire home/apt;70;7;2;12/08/2023;0.63;4;239;2;
8,69E+21;Rental unit in Madrid ;;1;studio;1;bed;1;bath;446760611;Raul;TetuÃ¡n;Cuatro Caminos;4.045.489.722;-3.693.606.964;Entire home/apt;77;7;0;;;22;357;0;
